columna,n,media,std,ks_stat,pvalor
age,303,54.43894389438944,9.038662442446746,0.07689018508952328,0.05270617546063483
sex,303,0.6798679867986799,0.46729882777012993,0.43321784527882934,3.2892301285405377e-52
cp,303,3.1584158415841586,0.9601256119600138,0.2848780246279483,2.960200298370122e-22
trestbps,303,131.68976897689768,17.59974772958769,0.10260050847070262,0.003135283968346889
chol,303,246.69306930693068,51.77691754263704,0.0553954251014398,0.29919672257888297
fbs,303,0.1485148514851485,0.35619787492797644,0.5131257563522323,1.4017576225750112e-74
restecg,303,0.9900990099009901,0.9949712915251782,0.338506771799556,1.7658406636713858e-31
thalach,303,149.6072607260726,22.875003276980376,0.07210181301796792,0.08153095618344175
exang,303,0.32673267326732675,0.46979446452231655,0.4298900690985326,2.2250896724098875e-51
oldpeak,303,1.0396039587977302,1.1610750102689424,0.18529185232392692,1.4043853629815168e-09
slope,303,1.6006600660066006,0.6162261453459619,0.3038021583669052,2.595937829269095e-25
ca,303,0.6633663366336634,0.934375462234502,0.3551939840130949,1.0395639718206282e-34
thal,303,4.7227722772277225,1.9383826733563154,0.3673915272709143,3.5041809769812885e-37
